Time;Porto_Velho;Ariquimes;Cacoal
01/01/1988 00:00;25.1908817;25.1430302;25.516077
01/02/1988 00:00;25.4943485;25.4876652;25.7040958
01/03/1988 00:00;25.1310368;25.3270206;25.6543827
01/04/1988 00:00;24.8838749;25.0626163;25.5752506
01/05/1988 00:00;24.2881107;24.7895756;25.0528507
01/06/1988 00:00;22.542841;23.1762333;23.8817081
01/07/1988 00:00;22.6855412;23.7319279;23.9278202
01/08/1988 00:00;26.593317;27.886591;27.9794559
01/09/1988 00:00;29.6113224;29.2585697;28.4269962
01/10/1988 00:00;27.5864506;26.5461369;27.3203983
01/11/1988 00:00;26.422266;25.6662846;26.4762821
01/12/1988 00:00;24.6440983;24.7918339;25.0365543
01/01/1989 00:00;24.4450626;24.4881229;24.8765812
01/02/1989 00:00;24.405756;24.4790287;24.713953
01/03/1989 00:00;24.2715092;24.521265;24.7114506
01/04/1989 00:00;24.4923954;24.6487064;25.0494328
01/05/1989 00:00;22.6696415;23.4609013;24.0621891
01/06/1989 00:00;23.448267;23.9527836;24.478754
01/07/1989 00:00;22.0193119;22.3228703;22.9157658
01/08/1989 00:00;25.5110722;25.2965946;25.3397465
01/09/1989 00:00;27.1998539;26.6562748;26.7401371
01/10/1989 00:00;27.1513309;26.1489201;26.5768375
01/11/1989 00:00;26.703577;25.6876163;26.4435368
01/12/1989 00:00;25.3633671;25.2257023;25.6137028
01/01/1990 00:00;25.0408878;25.1759281;25.3956547
01/02/1990 00:00;24.7891483;25.0167484;25.3488712
01/03/1990 00:00;25.0704899;25.3254337;25.6780949
01/04/1990 00:00;24.7083988;25.1631413;25.5591679
01/05/1990 00:00;23.6291142;24.2058048;24.7046452
01/06/1990 00:00;23.5649662;23.9988956;24.6603642
01/07/1990 00:00;24.0520878;23.7492619;24.0435429
01/08/1990 00:00;26.5797977;27.2969913;26.6901493
01/09/1990 00:00;26.3065128;27.0495853;27.2518253
01/10/1990 00:00;26.7056217;26.7811527;26.9966679
01/11/1990 00:00;25.5981388;25.6039982;26.4237614
01/12/1990 00:00;24.9368839;25.2127934;25.4519596
